Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
Woodstock town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2785975,1,Not Applicable,5085975,-,VT
Windsor town,VT10,VT,10,0,Southern Windsor County RPC,2784925,1,Not Applicable,5084925,-,VT
West Windsor town,VT10,VT,10,0,Southern Windsor County RPC,2783050,1,Not Applicable,5083050,-,VT
Worcester city,MA05,MA,5,0,Central Massachusetts RPC,2782001,1,Not Applicable,2582001,-,MA
Weston town,VT03,VT,3,0,Windham Regional Commission,2782000,1,Not Applicable,5082000,-,VT
Winchendon town,MA08,MA,8,0,Montachusetts RPC,2780405,1,"Boston-Cambridge-Quincy, MA-NH",2580405,4552402,MA
Weathersfield town,VT10,VT,10,0,Southern Windsor County RPC,2777500,1,Not Applicable,5077500,-,VT
Westminster town,MA08,MA,8,0,Montachusetts RPC,2777010,1,"Boston-Cambridge-Quincy, MA-NH",2577010,4552402,MA
West Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2775400,1,"Worcester, MA",2575400,798552,MA
West Boylston town,MA05,MA,5,0,Central Massachusetts RPC,2775155,1,"Worcester, MA",2575155,798552,MA
Westborough town,MA05,MA,5,0,Central Massachusetts RPC,2775015,1,"Worcester, MA",2575015,798552,MA
Webster town,MA05,MA,5,0,Central Massachusetts RPC,2773895,1,"Worcester, MA",2573895,798552,MA
Warren town,MA05,MA,5,0,Central Massachusetts RPC,2773090,1,"Worcester, MA",2573090,798552,MA
Uxbridge town,MA05,MA,5,0,Central Massachusetts RPC,2771620,1,"Worcester, MA",2571620,798552,MA
Upton town,MA05,MA,5,0,Central Massachusetts RPC,2771480,1,"Worcester, MA",2571480,798552,MA
Stockbridge town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2770375,1,Not Applicable,5070375,-,VT
Springfield town,VT10,VT,10,0,Southern Windsor County RPC,2769550,1,Not Applicable,5069550,-,VT
Templeton town,MA08,MA,8,0,Montachusetts RPC,2769275,1,"Boston-Cambridge-Quincy, MA-NH",2569275,4552402,MA
Sutton town,MA05,MA,5,0,Central Massachusetts RPC,2768610,1,"Worcester, MA",2568610,798552,MA
Sturbridge town,MA05,MA,5,0,Central Massachusetts RPC,2768155,1,"Worcester, MA",2568155,798552,MA
Sterling town,MA08,MA,8,0,Montachusetts RPC,2767385,1,"Worcester, MA",2567385,798552,MA
Spencer town,MA05,MA,5,0,Central Massachusetts RPC,2766105,1,"Worcester, MA",2566105,798552,MA
Sharon town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2763775,1,Not Applicable,5063775,-,VT
Southbridge Town city,MA05,MA,5,0,Central Massachusetts RPC,2763345,1,"Worcester, MA",2563345,798552,MA
Southborough town,MA09,MA,9,0,Metropolitan Area Planning Council,2763165,1,"Boston-Cambridge-Quincy, MA-NH",2563165,4552402,MA
Shrewsbury town,MA05,MA,5,0,Central Massachusetts RPC,2761800,1,"Worcester, MA",2561800,798552,MA
Royalton town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2760850,1,Not Applicable,5060850,-,VT
Rochester town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2760100,1,Not Applicable,5060100,-,VT
Rutland town,MA05,MA,5,0,Central Massachusetts RPC,2758825,1,"Worcester, MA",2558825,798552,MA
Royalston town,MA08,MA,8,0,Montachusetts RPC,2758580,1,"Boston-Cambridge-Quincy, MA-NH",2558580,4552402,MA
Reading town,VT10,VT,10,0,Southern Windsor County RPC,2758375,1,Not Applicable,5058375,-,VT
Pomfret town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2756350,1,Not Applicable,5056350,-,VT
Plymouth town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2756050,1,Not Applicable,5056050,-,VT
Princeton town,MA05,MA,5,0,Central Massachusetts RPC,2755395,1,"Worcester, MA",2555395,798552,MA
Phillipston town,MA08,MA,8,0,Montachusetts RPC,2753225,1,"Boston-Cambridge-Quincy, MA-NH",2553225,4552402,MA
Petersham town,MA08,MA,8,0,Montachusetts RPC,2753120,1,Not Applicable,2553120,-,MA
Norwich town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2752900,1,Not Applicable,5052900,-,VT
Paxton town,MA05,MA,5,0,Central Massachusetts RPC,2752420,1,"Worcester, MA",2552420,798552,MA
Oxford town,MA05,MA,5,0,Central Massachusetts RPC,2751825,1,"Worcester, MA",2551825,798552,MA
Oakham town,MA05,MA,5,0,Central Massachusetts RPC,2750670,1,"Worcester, MA",2550670,798552,MA
North Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2747135,1,"Worcester, MA",2547135,798552,MA
Northbridge town,MA05,MA,5,0,Central Massachusetts RPC,2746925,1,"Worcester, MA",2546925,798552,MA
Northborough town,MA05,MA,5,0,Central Massachusetts RPC,2746820,1,"Worcester, MA",2546820,798552,MA
New Braintree town,MA05,MA,5,0,Central Massachusetts RPC,2745105,1,"Worcester, MA",2545105,798552,MA
Millville town,MA05,MA,5,0,Central Massachusetts RPC,2741585,1,"Providence-New Bedford-Fall River, RI-MA",2541585,1600852,MA
Millbury town,MA05,MA,5,0,Central Massachusetts RPC,2741340,1,"Worcester, MA",2541340,798552,MA
Ludlow town,VT10,VT,10,0,Southern Windsor County RPC,2741275,1,Not Applicable,5041275,-,VT
Milford town,MA09,MA,9,0,Metropolitan Area Planning Council,2741165,1,"Boston-Cambridge-Quincy, MA-NH",2541165,4552402,MA
Mendon town,MA05,MA,5,0,Central Massachusetts RPC,2740255,1,"Boston-Cambridge-Quincy, MA-NH",2540255,4552402,MA
Lunenburg town,MA08,MA,8,0,Montachusetts RPC,2737420,1,"Boston-Cambridge-Quincy, MA-NH",2537420,4552402,MA
Leominster city,MA08,MA,8,0,Montachusetts RPC,2735075,1,"Boston-Cambridge-Quincy, MA-NH",2535075,4552402,MA
Leicester town,MA05,MA,5,0,Central Massachusetts RPC,2734795,1,"Worcester, MA",2534795,798552,MA
Lancaster town,MA08,MA,8,0,Montachusetts RPC,2734165,1,"Worcester, MA",2534165,798552,MA
Hartland town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2732425,1,Not Applicable,5032425,-,VT
Hartford town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2732275,1,Not Applicable,5032275,-,VT
Hubbardston town,MA08,MA,8,0,Montachusetts RPC,2731435,1,"Worcester, MA",2531435,798552,MA
Hopedale town,MA05,MA,5,0,Central Massachusetts RPC,2730945,1,"Boston-Cambridge-Quincy, MA-NH",2530945,4552402,MA
Holden town,MA05,MA,5,0,Central Massachusetts RPC,2730560,1,"Worcester, MA",2530560,798552,MA
Harvard town,MA08,MA,8,0,Montachusetts RPC,2728950,1,"Boston-Cambridge-Quincy, MA-NH",2528950,4552402,MA
Hardwick town,MA05,MA,5,0,Central Massachusetts RPC,2728740,1,Not Applicable,2528740,-,MA
Grafton town,MA05,MA,5,0,Central Massachusetts RPC,2726430,1,"Worcester, MA",2526430,798552,MA
Gardner city,MA08,MA,8,0,Montachusetts RPC,2725485,1,"Boston-Cambridge-Quincy, MA-NH",2525485,4552402,MA
Fitchburg city,MA08,MA,8,0,Montachusetts RPC,2723875,1,"Boston-Cambridge-Quincy, MA-NH",2523875,4552402,MA
East Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2718560,1,"Worcester, MA",2518560,798552,MA
Dudley town,MA05,MA,5,0,Central Massachusetts RPC,2717685,1,"Worcester, MA",2517685,798552,MA
Douglas town,MA05,MA,5,0,Central Massachusetts RPC,2717300,1,"Worcester, MA",2517300,798552,MA
Clinton town,MA08,MA,8,0,Montachusetts RPC,2714395,1,"Worcester, MA",2514395,798552,MA
Chester town,VT10,VT,10,0,Southern Windsor County RPC,2713675,1,Not Applicable,5013675,-,VT
Charlton town,MA05,MA,5,0,Central Massachusetts RPC,2712715,1,"Worcester, MA",2512715,798552,MA
Cavendish town,VT10,VT,10,0,Southern Windsor County RPC,2712250,1,Not Applicable,5012250,-,VT
Brookfield town,MA05,MA,5,0,Central Massachusetts RPC,2709105,1,"Worcester, MA",2509105,798552,MA
Bridgewater town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2708275,1,Not Applicable,5008275,-,VT
Boylston town,MA05,MA,5,0,Central Massachusetts RPC,2707525,1,"Worcester, MA",2507525,798552,MA
Bolton town,MA09,MA,9,0,Metropolitan Area Planning Council,2706365,1,"Boston-Cambridge-Quincy, MA-NH",2506365,4552402,MA
Blackstone town,MA05,MA,5,0,Central Massachusetts RPC,2706015,1,"Providence-New Bedford-Fall River, RI-MA",2506015,1600852,MA
Bethel town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2705800,1,Not Applicable,5005800,-,VT
Berlin town,MA05,MA,5,0,Central Massachusetts RPC,2705490,1,"Boston-Cambridge-Quincy, MA-NH",2505490,4552402,MA
Barre town,MA05,MA,5,0,Central Massachusetts RPC,2703740,1,"Worcester, MA",2503740,798552,MA
Auburn town,MA05,MA,5,0,Central Massachusetts RPC,2702760,1,"Worcester, MA",2502760,798552,MA
Barnard town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2702725,1,Not Applicable,5002725,-,VT
Baltimore town,VT10,VT,10,0,Southern Windsor County RPC,2702575,1,Not Applicable,5002575,-,VT
Athol town,MA08,MA,8,0,Montachusetts RPC,2702480,1,Not Applicable,2502480,-,MA
Ashburnham town,MA08,MA,8,0,Montachusetts RPC,2701885,1,"Boston-Cambridge-Quincy, MA-NH",2501885,4552402,MA
Andover town,VT10,VT,10,0,Southern Windsor County RPC,2701300,1,Not Applicable,5001300,-,VT
Windham town,VT03,VT,3,0,Windham Regional Commission,2584850,1,Not Applicable,5084850,-,VT
Wilmington town,VT03,VT,3,0,Windham Regional Commission,2584700,1,Not Applicable,5084700,-,VT
Whitingham town,VT03,VT,3,0,Windham Regional Commission,2583950,1,Not Applicable,5083950,-,VT
Westminster town,VT03,VT,3,0,Windham Regional Commission,2581400,1,Not Applicable,5081400,-,VT
Winthrop Town city,MA09,MA,9,0,Metropolitan Area Planning Council,2581005,1,"Boston-Cambridge-Quincy, MA-NH",2581005,4552402,MA
Wardsboro town,VT03,VT,3,0,Windham Regional Commission,2576225,1,Not Applicable,5076225,-,VT
Vernon town,VT03,VT,3,0,Windham Regional Commission,2574800,1,Not Applicable,5074800,-,VT
Townshend town,VT03,VT,3,0,Windham Regional Commission,2573300,1,Not Applicable,5073300,-,VT
Stratton town,VT03,VT,3,0,Windham Regional Commission,2570750,1,Not Applicable,5070750,-,VT
Somerset town,VT03,VT,3,0,Windham Regional Commission,2565762,1,Not Applicable,5065762,-,VT
Rockingham town,VT03,VT,3,0,Windham Regional Commission,2560250,1,Not Applicable,5060250,-,VT
Putney town,VT03,VT,3,0,Windham Regional Commission,2557700,1,Not Applicable,5057700,-,VT
Revere city,MA09,MA,9,0,Metropolitan Area Planning Council,2556585,1,"Boston-Cambridge-Quincy, MA-NH",2556585,4552402,MA
Newfane town,VT03,VT,3,0,Windham Regional Commission,2548400,1,Not Applicable,5048400,-,VT
Marlboro town,VT03,VT,3,0,Windham Regional Commission,2543375,1,Not Applicable,5043375,-,VT
Londonderry town,VT03,VT,3,0,Windham Regional Commission,2540225,1,Not Applicable,5040225,-,VT
Jamaica town,VT03,VT,3,0,Windham Regional Commission,2536175,1,Not Applicable,5036175,-,VT
Halifax town,VT03,VT,3,0,Windham Regional Commission,2531150,1,Not Applicable,5031150,-,VT
Guilford town,VT03,VT,3,0,Windham Regional Commission,2530925,1,Not Applicable,5030925,-,VT
Grafton town,VT03,VT,3,0,Windham Regional Commission,2528900,1,Not Applicable,5028900,-,VT
Dummerston town,VT03,VT,3,0,Windham Regional Commission,2518325,1,Not Applicable,5018325,-,VT
Dover town,VT03,VT,3,0,Windham Regional Commission,2517875,1,Not Applicable,5017875,-,VT
Chelsea city,MA09,MA,9,0,Metropolitan Area Planning Council,2513205,1,"Boston-Cambridge-Quincy, MA-NH",2513205,4552402,MA
Brookline town,VT03,VT,3,0,Windham Regional Commission,2509475,1,Not Applicable,5009475,-,VT
Brattleboro town,VT03,VT,3,0,Windham Regional Commission,2507900,1,Not Applicable,5007900,-,VT
Boston city,MA09,MA,9,0,Metropolitan Area Planning Council,2507000,1,"Boston-Cambridge-Quincy, MA-NH",2507000,4552402,MA
Athens town,VT03,VT,3,0,Windham Regional Commission,2501900,1,Not Applicable,5001900,-,VT
Worcester town,VT09,VT,9,0,Central Vermont RPC,2386125,1,Not Applicable,5086125,-,VT
Woodbury town,VT09,VT,9,0,Central Vermont RPC,2385525,1,Not Applicable,5085525,-,VT
Whitman town,MA10,MA,10,0,Old Colony Planning Council,2379530,1,"Boston-Cambridge-Quincy, MA-NH",2579530,4552402,MA
Waterbury town,VT09,VT,9,0,Central Vermont RPC,2376975,1,Not Applicable,5076975,-,VT
Warren town,VT09,VT,9,0,Central Vermont RPC,2376525,1,Not Applicable,5076525,-,VT
Waitsfield town,VT09,VT,9,0,Central Vermont RPC,2375325,1,Not Applicable,5075325,-,VT
West Bridgewater town,MA10,MA,10,0,Old Colony Planning Council,2375260,1,"Boston-Cambridge-Quincy, MA-NH",2575260,4552402,MA
Wareham town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2372985,1,"Barnstable Town, MA",2572985,215888,MA
Roxbury town,VT09,VT,9,0,Central Vermont RPC,2360625,1,Not Applicable,5060625,-,VT
Scituate town,MA09,MA,9,0,Metropolitan Area Planning Council,2360330,1,"Boston-Cambridge-Quincy, MA-NH",2560330,4552402,MA
Rockland town,MA09,MA,9,0,Metropolitan Area Planning Council,2357775,1,"Boston-Cambridge-Quincy, MA-NH",2557775,4552402,MA
Rochester town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2357600,1,"Boston-Cambridge-Quincy, MA-NH",2557600,4552402,MA
Plainfield town,VT09,VT,9,0,Central Vermont RPC,2355825,1,Not Applicable,5055825,-,VT
Plympton town,MA10,MA,10,0,Old Colony Planning Council,2354415,1,"Boston-Cambridge-Quincy, MA-NH",2554415,4552402,MA
Plymouth town,MA10,MA,10,0,Old Colony Planning Council,2354310,1,"Boston-Cambridge-Quincy, MA-NH",2554310,4552402,MA
Pembroke town,MA09,MA,9,MA10,Metropolitan Area Planning Council,2352630,1,"Boston-Cambridge-Quincy, MA-NH",2552630,4552402,MA
Northfield town,VT09,VT,9,0,Central Vermont RPC,2350275,1,Not Applicable,5050275,-,VT
Norwell town,MA09,MA,9,0,Metropolitan Area Planning Council,2350145,1,"Boston-Cambridge-Quincy, MA-NH",2550145,4552402,MA
Moretown town,VT09,VT,9,0,Central Vermont RPC,2346225,1,Not Applicable,5046225,-,VT
Montpelier city,VT09,VT,9,0,Central Vermont RPC,2346000,1,Not Applicable,5046000,-,VT
Middlesex town,VT09,VT,9,0,Central Vermont RPC,2344500,1,Not Applicable,5044500,-,VT
Marshfield town,VT09,VT,9,0,Central Vermont RPC,2343600,1,Not Applicable,5043600,-,VT
Middleborough town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2340850,1,"Boston-Cambridge-Quincy, MA-NH",2540850,4552402,MA
Mattapoisett town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2339450,1,"Boston-Cambridge-Quincy, MA-NH",2539450,4552402,MA
Marshfield town,MA09,MA,9,0,Metropolitan Area Planning Council,2338855,1,"Boston-Cambridge-Quincy, MA-NH",2538855,4552402,MA
Marion town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2338540,1,"Barnstable Town, MA",2538540,215888,MA
Lakeville town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2333920,1,"Boston-Cambridge-Quincy, MA-NH",2533920,4552402,MA
Kingston town,MA10,MA,10,0,Old Colony Planning Council,2333220,1,"Boston-Cambridge-Quincy, MA-NH",2533220,4552402,MA
Hull town,MA09,MA,9,0,Metropolitan Area Planning Council,2331645,1,"Boston-Cambridge-Quincy, MA-NH",2531645,4552402,MA
Hingham town,MA09,MA,9,0,Metropolitan Area Planning Council,2330210,1,"Boston-Cambridge-Quincy, MA-NH",2530210,4552402,MA
Hanson town,MA10,MA,10,0,Old Colony Planning Council,2328495,1,"Boston-Cambridge-Quincy, MA-NH",2528495,4552402,MA
Hanover town,MA09,MA,9,0,Metropolitan Area Planning Council,2328285,1,"Boston-Cambridge-Quincy, MA-NH",2528285,4552402,MA
Halifax town,MA10,MA,10,0,Old Colony Planning Council,2327795,1,"Boston-Cambridge-Quincy, MA-NH",2527795,4552402,MA
Fayston town,VT09,VT,9,0,Central Vermont RPC,2325825,1,Not Applicable,5025825,-,VT
East Montpelier town,VT09,VT,9,0,Central Vermont RPC,2321925,1,Not Applicable,5021925,-,VT
Duxbury town,VT09,VT,9,0,Central Vermont RPC,2318550,1,"Burlington-South Burlington, VT",5018550,211261,VT
East Bridgewater town,MA10,MA,10,0,Old Colony Planning Council,2318455,1,"Boston-Cambridge-Quincy, MA-NH",2518455,4552402,MA
Duxbury town,MA09,MA,9,0,Metropolitan Area Planning Council,2317895,1,"Boston-Cambridge-Quincy, MA-NH",2517895,4552402,MA
Carver town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2311665,1,"Boston-Cambridge-Quincy, MA-NH",2511665,4552402,MA
Calais town,VT09,VT,9,0,Central Vermont RPC,2311350,1,Not Applicable,5011350,-,VT
Cabot town,VT09,VT,9,0,Central Vermont RPC,2311125,1,Not Applicable,5011125,-,VT
Brockton city,MA10,MA,10,0,Old Colony Planning Council,2309000,1,"Boston-Cambridge-Quincy, MA-NH",2509000,4552402,MA
Bridgewater town,MA10,MA,10,0,Old Colony Planning Council,2308085,1,"Boston-Cambridge-Quincy, MA-NH",2508085,4552402,MA
Berlin town,VT09,VT,9,0,Central Vermont RPC,2305650,1,Not Applicable,5005650,-,VT
Barre town,VT09,VT,9,0,Central Vermont RPC,2303250,1,Not Applicable,5003250,-,VT
Barre city,VT09,VT,9,0,Central Vermont RPC,2303175,1,Not Applicable,5003175,-,VT
Abington town,MA10,MA,10,0,Old Colony Planning Council,2300170,1,"Boston-Cambridge-Quincy, MA-NH",2500170,4552402,MA
Wrentham town,MA09,MA,9,0,Metropolitan Area Planning Council,2182315,1,"Boston-Cambridge-Quincy, MA-NH",2582315,4552402,MA
West Rutland town,VT02,VT,2,0,Rutland RPC,2182300,1,Not Applicable,5082300,-,VT
West Haven town,VT02,VT,2,0,Rutland RPC,2180875,1,Not Applicable,5080875,-,VT
Weymouth Town city,MA09,MA,9,0,Metropolitan Area Planning Council,2178972,1,"Boston-Cambridge-Quincy, MA-NH",2578972,4552402,MA
Westwood town,MA09,MA,9,0,Metropolitan Area Planning Council,2178690,1,"Boston-Cambridge-Quincy, MA-NH",2578690,4552402,MA
Wells town,VT02,VT,2,0,Rutland RPC,2177950,1,Not Applicable,5077950,-,VT
Wallingford town,VT02,VT,2,0,Rutland RPC,2175925,1,Not Applicable,5075925,-,VT
Wellesley town,MA09,MA,9,0,Metropolitan Area Planning Council,2174175,1,"Boston-Cambridge-Quincy, MA-NH",2574175,4552402,MA
Tinmouth town,VT02,VT,2,0,Rutland RPC,2172925,1,Not Applicable,5072925,-,VT
Walpole town,MA09,MA,9,0,Metropolitan Area Planning Council,2172495,1,"Boston-Cambridge-Quincy, MA-NH",2572495,4552402,MA
Sudbury town,VT02,VT,2,0,Rutland RPC,2171050,1,Not Applicable,5071050,-,VT
Stoughton town,MA09,MA,9,MA10,Metropolitan Area Planning Council,2167945,1,"Boston-Cambridge-Quincy, MA-NH",2567945,4552402,MA
Shrewsbury town,VT02,VT,2,0,Rutland RPC,2165275,1,Not Applicable,5065275,-,VT
Rutland town,VT02,VT,2,0,Rutland RPC,2161300,1,Not Applicable,5061300,-,VT
Rutland city,VT02,VT,2,0,Rutland RPC,2161225,1,Not Applicable,5061225,-,VT
Sharon town,MA09,MA,9,0,Metropolitan Area Planning Council,2160785,1,"Boston-Cambridge-Quincy, MA-NH",2560785,4552402,MA
Proctor town,VT02,VT,2,0,Rutland RPC,2157250,1,Not Applicable,5057250,-,VT
Poultney town,VT02,VT,2,0,Rutland RPC,2156875,1,Not Applicable,5056875,-,VT
Randolph town,MA09,MA,9,0,Metropolitan Area Planning Council,2155955,1,"Boston-Cambridge-Quincy, MA-NH",2555955,4552402,MA
Quincy city,MA09,MA,9,0,Metropolitan Area Planning Council,2155745,1,"Boston-Cambridge-Quincy, MA-NH",2555745,4552402,MA
Pittsford town,VT02,VT,2,0,Rutland RPC,2155600,1,Not Applicable,5055600,-,VT
Pittsfield town,VT11,VT,11,0,Two Rivers - Ottauquechee RPC,2155450,1,Not Applicable,5055450,-,VT
Pawlet town,VT02,VT,2,0,Rutland RPC,2154250,1,Not Applicable,5054250,-,VT
Plainville town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,2154100,1,"Providence-New Bedford-Fall River, RI-MA",2554100,1600852,MA
Norwood town,MA09,MA,9,0,Metropolitan Area Planning Council,2150250,1,"Boston-Cambridge-Quincy, MA-NH",2550250,4552402,MA
Mount Tabor town,VT02,VT,2,0,Rutland RPC,2147425,1,Not Applicable,5047425,-,VT
Mount Holly town,VT02,VT,2,0,Rutland RPC,2147200,1,Not Applicable,5047200,-,VT
Norfolk town,MA09,MA,9,0,Metropolitan Area Planning Council,2146050,1,"Boston-Cambridge-Quincy, MA-NH",2546050,4552402,MA
Middletown Springs town,VT02,VT,2,0,Rutland RPC,2144800,1,Not Applicable,5044800,-,VT
Mendon town,VT02,VT,2,0,Rutland RPC,2144125,1,Not Applicable,5044125,-,VT
Needham town,MA09,MA,9,0,Metropolitan Area Planning Council,2144105,1,"Boston-Cambridge-Quincy, MA-NH",2544105,4552402,MA
Milton town,MA09,MA,9,0,Metropolitan Area Planning Council,2141690,1,"Boston-Cambridge-Quincy, MA-NH",2541690,4552402,MA
Millis town,MA09,MA,9,0,Metropolitan Area Planning Council,2141515,1,"Boston-Cambridge-Quincy, MA-NH",2541515,4552402,MA
Medway town,MA09,MA,9,0,Metropolitan Area Planning Council,2139975,1,"Boston-Cambridge-Quincy, MA-NH",2539975,4552402,MA
Medfield town,MA09,MA,9,0,Metropolitan Area Planning Council,2139765,1,"Boston-Cambridge-Quincy, MA-NH",2539765,4552402,MA
Killington town,VT02,VT,2,0,Rutland RPC,2137685,1,Not Applicable,5037685,-,VT
Ira town,VT02,VT,2,0,Rutland RPC,2135425,1,Not Applicable,5035425,-,VT
Hubbardton town,VT02,VT,2,0,Rutland RPC,2134450,1,Not Applicable,5034450,-,VT
Holbrook town,MA09,MA,9,0,Metropolitan Area Planning Council,2130455,1,"Boston-Cambridge-Quincy, MA-NH",2530455,4552402,MA
Fair Haven town,VT02,VT,2,0,Rutland RPC,2125375,1,Not Applicable,5025375,-,VT
Franklin Town city,MA09,MA,9,0,Metropolitan Area Planning Council,2125172,1,"Boston-Cambridge-Quincy, MA-NH",2525172,4552402,MA
Foxborough town,MA09,MA,9,0,Metropolitan Area Planning Council,2124820,1,"Boston-Cambridge-Quincy, MA-NH",2524820,4552402,MA
Dover town,MA09,MA,9,0,Metropolitan Area Planning Council,2117405,1,"Boston-Cambridge-Quincy, MA-NH",2517405,4552402,MA
Danby town,VT02,VT,2,0,Rutland RPC,2116825,1,Not Applicable,5016825,-,VT
Dedham town,MA09,MA,9,0,Metropolitan Area Planning Council,2116495,1,"Boston-Cambridge-Quincy, MA-NH",2516495,4552402,MA
Cohasset town,MA09,MA,9,0,Metropolitan Area Planning Council,2114640,1,"Boston-Cambridge-Quincy, MA-NH",2514640,4552402,MA
Clarendon town,VT02,VT,2,0,Rutland RPC,2114500,1,Not Applicable,5014500,-,VT
Chittenden town,VT02,VT,2,0,Rutland RPC,2114350,1,Not Applicable,5014350,-,VT
Castleton town,VT02,VT,2,0,Rutland RPC,2111950,1,Not Applicable,5011950,-,VT
Canton town,MA09,MA,9,0,Metropolitan Area Planning Council,2111315,1,"Boston-Cambridge-Quincy, MA-NH",2511315,4552402,MA
Brookline town,MA09,MA,9,0,Metropolitan Area Planning Council,2109175,1,"Boston-Cambridge-Quincy, MA-NH",2509175,4552402,MA
Brandon town,VT02,VT,2,0,Rutland RPC,2107750,1,Not Applicable,5007750,-,VT
Braintree Town city,MA09,MA,9,0,Metropolitan Area Planning Council,2107740,1,"Boston-Cambridge-Quincy, MA-NH",2507740,4552402,MA
Benson town,VT02,VT,2,0,Rutland RPC,2105200,1,Not Applicable,5005200,-,VT
Bellingham town,MA09,MA,9,0,Metropolitan Area Planning Council,2104930,1,"Providence-New Bedford-Fall River, RI-MA",2504930,1600852,MA
Avon town,MA10,MA,10,0,Old Colony Planning Council,2102935,1,"Boston-Cambridge-Quincy, MA-NH",2502935,4552402,MA
Westmore town,VT06,VT,6,0,Northeastern Vermont Development Association,1981700,1,Not Applicable,5081700,-,VT
Westfield town,VT06,VT,6,0,Northeastern Vermont Development Association,1980200,1,Not Applicable,5080200,-,VT
Washington,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1978980,1,Not Applicable,3378980,-,Wa
Unity,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1977940,1,Not Applicable,3377940,-,Un
Sunapee,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1975060,1,Not Applicable,3375060,-,Su
Troy town,VT06,VT,6,0,Northeastern Vermont Development Association,1973525,1,Not Applicable,5073525,-,VT
Springfield,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1972740,1,Not Applicable,3372740,-,Sp
Plainfield,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1962340,1,Not Applicable,3362340,-,Pl
Newport,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1952580,1,Not Applicable,3352580,-,Ne
Newport town,VT06,VT,6,0,Northeastern Vermont Development Association,1948925,1,Not Applicable,5048925,-,VT
Newport city,VT06,VT,6,0,Northeastern Vermont Development Association,1948850,1,Not Applicable,5048850,-,VT
Morgan town,VT06,VT,6,0,Northeastern Vermont Development Association,1946450,1,Not Applicable,5046450,-,VT
Nantucket town,MA99,MA,99,0,Unattached,1943790,1,Not Applicable,2543790,-,MA
Lempster,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1941700,1,Not Applicable,3341700,-,Le
Langdon,NH07,NH,7,0,Southwest Region Planning Commission,1940900,1,Not Applicable,3340900,-,La
Lowell town,VT06,VT,6,0,Northeastern Vermont Development Association,1940525,1,Not Applicable,5040525,-,VT
Jay town,VT06,VT,6,0,Northeastern Vermont Development Association,1936325,1,Not Applicable,5036325,-,VT
Irasburg town,VT06,VT,6,0,Northeastern Vermont Development Association,1935575,1,Not Applicable,5035575,-,VT
Holland town,VT06,VT,6,0,Northeastern Vermont Development Association,1933775,1,Not Applicable,5033775,-,VT
Grantham,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1931220,1,Not Applicable,3331220,-,Gr
Goshen,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1930500,1,Not Applicable,3330500,-,Go
Greensboro town,VT06,VT,6,0,Northeastern Vermont Development Association,1930175,1,Not Applicable,5030175,-,VT
Glover town,VT06,VT,6,0,Northeastern Vermont Development Association,1928075,1,Not Applicable,5028075,-,VT
Derby town,VT06,VT,6,0,Northeastern Vermont Development Association,1917350,1,Not Applicable,5017350,-,VT
Croydon,NH06,NH,6,0,Upper Valley Lake Sunapee Regional Planning Commission,1916340,1,Not Applicable,3316340,-,Cr
Craftsbury town,VT06,VT,6,0,Northeastern Vermont Development Association,1916300,1,Not Applicable,5016300,-,VT
Coventry town,VT06,VT,6,0,Northeastern Vermont Development Association,1916150,1,Not Applicable,5016150,-,VT
