Place,RIGOCode,RIGOCodeSt,RIGOCodeNo,RIGO2,RIGO,Code,Muni,MSA,MuniCode2,MSAPOP,State
New Hartford town,CT06,CT,6,0,Northwest Hills Council of Governments,551350,1,"Hartford-West Hartford-East Hartford, CT",951350,1212381,CT
Nelson,NH07,NH,7,0,Southwest Region Planning Commission,550580,1,Not Applicable,3350580,-,Ne
Norton town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,549970,1,"Boston-Cambridge-Quincy, MA-NH",2549970,4552402,MA
Newport city,RI75,RI,75,0,State of Rhode Island,549960,1,"Providence-New Bedford-Fall River, RI-MA",4449960,1600852,RI
Morris town,CT06,CT,6,0,Northwest Hills Council of Governments,549460,1,Not Applicable,949460,-,CT
Newark town,VT06,VT,6,0,Northeastern Vermont Development Association,547725,1,Not Applicable,5047725,-,VT
North Attleborough town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,546575,1,"Providence-New Bedford-Fall River, RI-MA",2546575,1600852,MA
Marlow,NH07,NH,7,0,Southwest Region Planning Commission,545700,1,Not Applicable,3345700,-,Ma
Marlborough,NH07,NH,7,0,Southwest Region Planning Commission,545461,1,Not Applicable,3345461,-,Ma
Middletown town,RI75,RI,75,0,State of Rhode Island,545460,1,"Providence-New Bedford-Fall River, RI-MA",4445460,1600852,RI
New Bedford city,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,545000,1,"Boston-Cambridge-Quincy, MA-NH",2545000,4552402,MA
Litchfield town,CT06,CT,6,0,Northwest Hills Council of Governments,543370,1,Not Applicable,943370,-,CT
Little Compton town,RI75,RI,75,0,State of Rhode Island,542400,1,"Providence-New Bedford-Fall River, RI-MA",4442400,1600852,RI
Lyndon town,VT06,VT,6,0,Northeastern Vermont Development Association,541725,1,Not Applicable,5041725,-,VT
Kent town,CT06,CT,6,0,Northwest Hills Council of Governments,540290,1,Not Applicable,940290,-,CT
Keene,NH07,NH,7,0,Southwest Region Planning Commission,539300,1,Not Applicable,3339300,-,Ke
Jaffrey,NH07,NH,7,0,Southwest Region Planning Commission,538500,1,Not Applicable,3338500,-,Ja
Mansfield town,MA11,MA,11,0,Southeastern Regional Planning and Economic Development District,538225,1,"Boston-Cambridge-Quincy, MA-NH",2538225,4552402,MA
Kirby town,VT06,VT,6,0,Northeastern Vermont Development Association,537900,1,Not Applicable,5037900,-,VT
Harwinton town,CT06,CT,6,0,Northwest Hills Council of Governments,537280,1,"Hartford-West Hartford-East Hartford, CT",937280,1212381,CT
Jamestown town,RI75,RI,75,0,State of Rhode Island,536820,1,"Providence-New Bedford-Fall River, RI-MA",4436820,1600852,RI
Hinsdale,NH07,NH,7,0,Southwest Region Planning Commission,536660,1,Not Applicable,3336660,-,Hi
Harrisville,NH07,NH,7,0,Southwest Region Planning Commission,534420,1,Not Applicable,3334420,-,Ha
Goshen town,CT06,CT,6,0,Northwest Hills Council of Governments,532290,1,Not Applicable,932290,-,CT
